Stock Name,Exchange,Token,Type,Quantity,Average Price,CMP,PC,Day High,Volume,Buy Date,Buy Price,Broker,1D%,2D%,3D%,4D%,PMC,PD Volume,D%,DH%,SAlert,Total Invested,Current Value,Net P&L,ROI (%)
BOROLTD,NSE,19401,Watchlist,0.0,0.0,259.21,253.4,263.1,133921.0,,,angel_one,2.690873723455996,-0.6322232513188184,-3.5536740717725666,-2.3883539313063746,245.86,111949.0,2.2928176795580004,3.8279400157853263,-1.5007137070329244,0.0,0.0,0.0,0.0
SBCL,NSE,4656,Watchlist,0.0,0.0,1096.2,1091.8,1109.8,106816.0,,,angel_one,3.292336802270573,3.6071358557145614,-6.145354185832563,-2.2482014388489207,1070.0,279880.0,0.4030042132258739,1.6486535995603593,-1.2406495165115772,0.0,0.0,0.0,0.0
MVGJL,NSE,19015,Watchlist,0.0,0.0,214.47,215.37,224.36,509506.0,,,angel_one,3.963120293492956,5.666921703647021,-0.6687946496427993,-5.4650828623431345,151.03,704297.0,-0.4178854993731744,4.174211821516464,-4.611367557234119,0.0,0.0,0.0,0.0
RIR,NSE,764121,Watchlist,0.0,0.0,198.93,197.63,213.94,14823429.0,,,angel_one,9.934916838182113,4.822157434402338,-3.2494640640866477,-0.06765136994024386,159.27,36391145.0,0.6577948692000261,8.252795628194102,-7.545367717287483,0.0,0.0,0.0,0.0
BANG,NSE,15303,Watchlist,0.0,0.0,33.5,33.19,34.85,35579.0,,,angel_one,2.28043143297379,0.4955094456488191,-8.05808656036446,1.7676035931614007,34.86,21817.0,0.9340162699608384,5.001506477854787,-4.029850746268661,0.0,0.0,0.0,0.0
RAMANEWS,NSE,13565,Watchlist,0.0,0.0,31.33,30.94,31.9,27396.0,,,angel_one,2.5862068965517278,-2.521008403361348,-0.03231017770597096,-3.7325038880248815,31.32,24768.0,1.2605042016806627,3.1027795733678,-1.8193424832428993,0.0,0.0,0.0,0.0
SHAKTIPUMP,NSE,25574,Watchlist,0.0,0.0,460.95,464.1,470.65,460443.0,,,angel_one,0.043112739814625024,-2.172079291438214,-3.9692183070068903,-1.8680445151033342,486.4,505053.0,-0.6787330316742155,1.4113337642749308,-2.1043497125501656,0.0,0.0,0.0,0.0
GENUSPOWER,NSE,11905,Watchlist,0.0,0.0,310.75,303.15,315.65,3184194.0,,,angel_one,0.5305919416348751,-1.6150081566068477,-5.137728257505423,-0.9351525371761321,335.2,895382.0,2.507009731156201,4.123371268349003,-1.5768302493966138,0.0,0.0,0.0,0.0
MINDACORP,NSE,25897,Watchlist,0.0,0.0,691.45,681.25,696.35,90197.0,,,angel_one,1.444419626237815,-1.0899182561308036,-3.756467503012261,0.3342341061015535,712.55,191985.0,1.497247706422025,2.2165137614678936,-0.7086557234796409,0.0,0.0,0.0,0.0
URAVIDEF,NSE,17081,Watchlist,0.0,0.0,108.0,109.9,109.5,292.0,,,angel_one,-0.1907183725365487,-1.6962771181144591,-1.745614035087715,-0.8695652173913043,113.31,571.0,-1.7288444040036446,-0.36396724294813987,-1.3888888888888888,0.0,0.0,0.0,0.0
STARTECK,NSE,9305,Watchlist,0.0,0.0,240.0,237.45,261.5,201.0,,,angel_one,0.27449324324323365,-0.8790288823775614,-0.7271971743195512,-1.8556280587275626,253.8,700.0,1.0739102969046164,10.128448094335656,-8.958333333333334,0.0,0.0,0.0,0.0
DAICHI,NSE,762636,Watchlist,0.0,0.0,327.95,328.65,339.0,489.0,,,angel_one,-0.3486961795027393,0.3651856360316459,-2.535963221118183,-1.14352734203197,337.95,730.0,-0.2129925452609124,3.1492469192149777,-3.3694160695227966,0.0,0.0,0.0,0.0
VEDAVAAG,NSE,764980,Watchlist,0.0,0.0,22.21,21.0,23.25,105589.0,,,angel_one,6.221547799696512,-5.767397521449003,-10.265183917878524,5.267897343538938,18.38,138410.0,5.761904761904766,10.714285714285714,-4.682575416479059,0.0,0.0,0.0,0.0
GNFC,NSE,1174,Watchlist,0.0,0.0,588.9,584.85,594.35,1359872.0,,,angel_one,8.35572024085225,-0.1572327044025199,-3.8762446657183416,-1.462987297415685,574.75,8250274.0,0.6924852526288714,1.6243481234504573,-0.9254542367125226,0.0,0.0,0.0,0.0
INFY,NSE,1594,Watchlist,0.0,0.0,1051.4,1058.6,1061.9,22124953.0,,,angel_one,-0.13207547169812178,-1.5784586815227482,3.7872217403873907,0.11577424023155287,1133.8,5469865.0,-0.6801435858681106,0.3117324768562424,-0.9986684420772304,0.0,0.0,0.0,0.0
